originalWord,translation,language,proficiencyLevel,exampleUsage,explanation
Rozumiem,I get the picture,english,2,"After his explanation, I get the picture now.",Used to indicate that you understand what someone is telling you
Mam dość,I'm fed up,english,2,I'm fed up with all this rain.,"Very annoyed or bored, especially by something that has continued for too long"
Jestem spięty/zdenerwowany,I'm on edge,english,2,She's been on edge all day waiting for the results.,Nervous and not able to relax
Jestem szczęśliwy/czuję się doskonale,I'm on top of the world,english,2,"After getting the promotion, I'm on top of the world.",Extremely happy and excited
Jestem przerażony,I'm petrified,english,2,I'm petrified of spiders.,Extremely frightened
Jestem podekscytowany/zmotywowany,I'm pumped,english,2,I'm pumped for the concert tonight.,Very excited and enthusiastic about something
To mnie nie przeszkadza,It doesn't bother me,english,1,The noise from the street doesn't bother me anymore.,"Used to say that something does not worry, annoy, or upset you"
To katastrofa,It's a disaster,english,1,The dinner party was a disaster - everything went wrong.,Something that has failed completely or gone very badly
To nuda/uciążliwość,It's a drag,english,2,Having to work overtime every day is such a drag.,"Something boring, tedious, or unpleasant"
To nic wielkiego,It's not a big deal,english,1,Don't worry about being late - it's not a big deal.,Used to say that something is not important or serious
Przepraszam,My apologies,english,1,My apologies for being late to the meeting.,A formal way to say you are sorry
Mam pełne ręce roboty,My plate is full,english,2,I can't take on another project - my plate is full.,Very busy with many tasks or responsibilities
znaczący/istotny,Significant,english,1,There has been a significant improvement in sales.,Important or large enough to be noticed or have an effect
To fascynujące,That's fascinating,english,1,Your research on ancient civilizations is fascinating.,Used to show that you find something very interesting
zmiana to odpoczynek,a change is as good as a rest,english,1,Try a new hobby - a change is as good as a rest.,Something different can be as refreshing as taking a break
diament w stanie surowym,a diamond in the rough,english,1,The young player is a diamond in the rough.,Someone or something with great potential but needing development
nowe życie/nowa szansa,a new lease on life,english,1,The surgery gave him a new lease on life.,A chance to live or do something with renewed energy
zamiłowanie do podróży,a travel bug,english,1,She caught the travel bug after her first trip abroad.,A strong desire to travel
uprowadzić,abduct,english,1,The child was abducted from the playground.,To take someone away illegally or by force
nadużywać/maltretować,abuse,english,1,He was arrested for abusing his children.,To treat someone in a cruel or violent way
pomieścić/dostosować się,accommodate,english,1,The hotel can accommodate 200 guests.,To provide space for or to adjust to
odpowiedzialny,accountable,english,1,The manager is accountable for the team's performance.,Required to explain your actions or decisions
oskarżony,accused,english,1,The accused was found guilty of theft.,A person charged with a crime or wrongdoing
znajomy,acquaintance,english,1,"She's just an acquaintance, not a close friend.",A person you know slightly but not very well
uzależnienie,addiction,english,1,He struggled with drug addiction for years.,The inability to stop using or doing something harmful
nastolatek,adolescent,english,1,Adolescents often struggle with identity issues.,A young person between childhood and adulthood
nastolatkowie,adolescents,english,1,Adolescents need guidance and support.,Young people between childhood and adulthood
czuły/kochający,affectionate,english,1,She gave her daughter an affectionate hug.,Showing feelings of love and care
ugodowość,agreeableness,english,1,Her agreeableness made her well-liked.,The quality of being pleasant and cooperative
celować wysoko,aim for the stars,english,1,Don't be afraid to aim for the stars.,To have very high ambitions
podobny/pokrewny,akin,english,1,His feelings were akin to disappointment.,Similar in character or nature
pokarm/pożywienie,aliment,english,1,Fresh fruit is a healthy aliment.,Food or nourishment
altruistyczny,altruistic,english,1,Her altruistic nature made her help everyone.,Showing unselfish concern for others
poprawiać/ulepszać,ameliorate,english,1,The new policy will ameliorate working conditions.,To make something better
park rozrywki,amusement park,english,1,The children loved the amusement park.,A place with rides and games for entertainment
starożytny,ancient,english,1,They visited the ancient ruins in Rome.,"Very old, especially from long ago in history"
antyk/zabytek,antique,english,1,She collects antique furniture.,An old and valuable object
roczny,annual,english,1,The company holds an annual meeting.,Happening once every year
niepokój,anxiety,english,1,He's been feeling anxiety about his new job.,"A feeling of worry, nervousness, or unease"
niespokojny/zaniepokojony,anxious,english,1,She was anxious about the test results.,Feeling worried or nervous
lada moment,any minute now,english,1,The train should arrive any minute now.,Very soon
świeży jak stokrotka,as fresh as a daisy,english,1,"Despite working all night, she looked as fresh as a daisy.",Full of energy and not tired
chory jak pies,as sick as a dog,english,1,He was as sick as a dog with flu.,Very ill
zdumiewający,astonishing,english,1,The magician's tricks were astonishing.,Very surprising or shocking
pod ręką/blisko,at hand,english,1,Keep a first aid kit at hand.,Near or readily available
osoba szukająca uwagi,attention-seeker,english,1,Don't be such an attention-seeker.,Someone who tries to get noticed by others
postawa/nastawienie,attitude,english,1,She has a positive attitude towards work.,A way of thinking or feeling about something
przebudzony,awakened,english,1,The speech awakened his interest in politics.,Made aware of something or woken up
świadomość,awareness,english,1,There's growing awareness about climate change.,Knowledge or understanding of a situation or subject
być oszczędnym,be frugal,english,1,We need to be frugal with our spending.,To be careful with money
być na finiszu,be on the home stretch,english,1,We're on the home stretch of the project.,Near the end of something
